gender,raceEthn,parentEducation,lunch,testPrep,exam,score
female,group A,associate's degree,standard,completed,writing,62
female,group C,high school,standard,none,math,66
female,group C,high school,standard,none,reading,71
female,group C,high school,standard,none,writing,76
female,group D,associate's degree,free/reduced,completed,math,57
female,group D,associate's degree,free/reduced,completed,reading,74
female,group D,associate's degree,free/reduced,completed,writing,76
male,group C,high school,standard,completed,math,82
male,group C,high school,standard,completed,reading,84
male,group C,high school,standard,completed,writing,82
male,group E,some college,standard,none,math,53
male,group E,some college,standard,none,reading,55
male,group E,some college,standard,none,writing,48
male,group E,associate's degree,free/reduced,completed,math,77
male,group E,associate's degree,free/reduced,completed,reading,69
male,group E,associate's degree,free/reduced,completed,writing,68
male,group C,some college,standard,none,math,53
male,group C,some college,standard,none,reading,44
male,group C,some college,standard,none,writing,42
male,group D,high school,standard,none,math,88
male,group D,high school,standard,none,reading,78
male,group D,high school,standard,none,writing,75
female,group C,some high school,free/reduced,completed,math,71
female,group C,some high school,free/reduced,completed,reading,84
female,group C,some high school,free/reduced,completed,writing,87
female,group C,high school,free/reduced,none,math,33
female,group C,high school,free/reduced,none,reading,41
female,group C,high school,free/reduced,none,writing,43
female,group E,associate's degree,standard,completed,math,82
female,group E,associate's degree,standard,completed,reading,85
female,group E,associate's degree,standard,completed,writing,86
male,group D,associate's degree,standard,none,math,52
male,group D,associate's degree,standard,none,reading,55
male,group D,associate's degree,standard,none,writing,49
male,group D,some college,standard,completed,math,58
male,group D,some college,standard,completed,reading,59
male,group D,some college,standard,completed,writing,58
female,group C,some high school,free/reduced,none,math,0
female,group C,some high school,free/reduced,none,reading,17
female,group C,some high school,free/reduced,none,writing,10
male,group E,bachelor's degree,free/reduced,completed,math,79
male,group E,bachelor's degree,free/reduced,completed,reading,74
male,group E,bachelor's degree,free/reduced,completed,writing,72
male,group A,some high school,free/reduced,none,math,39
male,group A,some high school,free/reduced,none,reading,39
male,group A,some high school,free/reduced,none,writing,34
male,group A,associate's degree,free/reduced,none,math,62
male,group A,associate's degree,free/reduced,none,reading,61
male,group A,associate's degree,free/reduced,none,writing,55
female,group C,associate's degree,standard,none,math,69
female,group C,associate's degree,standard,none,reading,80
female,group C,associate's degree,standard,none,writing,71
female,group D,some high school,standard,none,math,59
female,group D,some high school,standard,none,reading,58
female,group D,some high school,standard,none,writing,59
male,group B,some high school,standard,none,math,67
male,group B,some high school,standard,none,reading,64
male,group B,some high school,standard,none,writing,61
male,group D,some high school,free/reduced,none,math,45
male,group D,some high school,free/reduced,none,reading,37
male,group D,some high school,free/reduced,none,writing,37
female,group C,some college,standard,none,math,60
female,group C,some college,standard,none,reading,72
female,group C,some college,standard,none,writing,74
male,group B,associate's degree,free/reduced,none,math,61
male,group B,associate's degree,free/reduced,none,reading,58
male,group B,associate's degree,free/reduced,none,writing,56
female,group C,associate's degree,standard,none,math,39
female,group C,associate's degree,standard,none,reading,64
female,group C,associate's degree,standard,none,writing,57
female,group D,some college,free/reduced,completed,math,58
female,group D,some college,free/reduced,completed,reading,63
female,group D,some college,free/reduced,completed,writing,73
male,group D,some college,standard,completed,math,63
male,group D,some college,standard,completed,reading,55
male,group D,some college,standard,completed,writing,63
female,group A,associate's degree,free/reduced,none,math,41
female,group A,associate's degree,free/reduced,none,reading,51
female,group A,associate's degree,free/reduced,none,writing,48
male,group C,some high school,free/reduced,none,math,61
male,group C,some high school,free/reduced,none,reading,57
male,group C,some high school,free/reduced,none,writing,56
male,group C,some high school,standard,none,math,49
male,group C,some high school,standard,none,reading,49
male,group C,some high school,standard,none,writing,41
male,group B,associate's degree,free/reduced,none,math,44
male,group B,associate's degree,free/reduced,none,reading,41
male,group B,associate's degree,free/reduced,none,writing,38
male,group E,some high school,standard,none,math,30
male,group E,some high school,standard,none,reading,26
male,group E,some high school,standard,none,writing,22
male,group A,bachelor's degree,standard,completed,math,80
male,group A,bachelor's degree,standard,completed,reading,78
male,group A,bachelor's degree,standard,completed,writing,81
female,group D,some high school,standard,completed,math,61
female,group D,some high school,standard,completed,reading,74
female,group D,some high school,standard,completed,writing,72
female,group E,master's degree,standard,none,math,62
female,group E,master's degree,standard,none,reading,68
female,group E,master's degree,standard,none,writing,68
female,group B,associate's degree,standard,none,math,47
female,group B,associate's degree,standard,none,reading,49
female,group B,associate's degree,standard,none,writing,50
male,group B,high school,free/reduced,none,math,49
male,group B,high school,free/reduced,none,reading,45
male,group B,high school,free/reduced,none,writing,45
male,group A,some college,free/reduced,completed,math,50
male,group A,some college,free/reduced,completed,reading,47
male,group A,some college,free/reduced,completed,writing,54
male,group E,associate's degree,standard,none,math,72
male,group E,associate's degree,standard,none,reading,64
male,group E,associate's degree,standard,none,writing,63
male,group D,high school,free/reduced,none,math,42
male,group D,high school,free/reduced,none,reading,39
male,group D,high school,free/reduced,none,writing,34
female,group C,some college,standard,none,math,73
female,group C,some college,standard,none,reading,80
female,group C,some college,standard,none,writing,82
female,group C,some college,free/reduced,none,math,76
female,group C,some college,free/reduced,none,reading,83
female,group C,some college,free/reduced,none,writing,88
female,group D,associate's degree,standard,none,math,71
female,group D,associate's degree,standard,none,reading,71
female,group D,associate's degree,standard,none,writing,74
female,group A,some college,standard,none,math,58
female,group A,some college,standard,none,reading,70
female,group A,some college,standard,none,writing,67
female,group D,some high school,standard,none,math,73
female,group D,some high school,standard,none,reading,86
female,group D,some high school,standard,none,writing,82
female,group C,bachelor's degree,standard,none,math,65
female,group C,bachelor's degree,standard,none,reading,72
female,group C,bachelor's degree,standard,none,writing,74
male,group C,high school,free/reduced,none,math,27
male,group C,high school,free/reduced,none,reading,34
male,group C,high school,free/reduced,none,writing,36
male,group C,high school,standard,none,math,71
male,group C,high school,standard,none,reading,79
male,group C,high school,standard,none,writing,71
male,group C,associate's degree,free/reduced,completed,math,43
male,group C,associate's degree,free/reduced,completed,reading,45
male,group C,associate's degree,free/reduced,completed,writing,50
female,group B,some college,standard,none,math,79
female,group B,some college,standard,none,reading,86
female,group B,some college,standard,none,writing,92
male,group C,associate's degree,free/reduced,completed,math,78
male,group C,associate's degree,free/reduced,completed,reading,81
male,group C,associate's degree,free/reduced,completed,writing,82
male,group B,some high school,standard,completed,math,65
male,group B,some high school,standard,completed,reading,66
male,group B,some high school,standard,completed,writing,62
female,group E,some college,standard,completed,math,63
female,group E,some college,standard,completed,reading,72
female,group E,some college,standard,completed,writing,70
female,group D,some college,free/reduced,none,math,58
female,group D,some college,free/reduced,none,reading,67
female,group D,some college,free/reduced,none,writing,62
female,group D,bachelor's degree,standard,none,math,65
female,group D,bachelor's degree,standard,none,reading,67
female,group D,bachelor's degree,standard,none,writing,62
male,group B,some college,standard,none,math,79
male,group B,some college,standard,none,reading,67
male,group B,some college,standard,none,writing,67
male,group D,bachelor's degree,standard,completed,math,68
male,group D,bachelor's degree,standard,completed,reading,74
male,group D,bachelor's degree,standard,completed,writing,74
female,group D,associate's degree,standard,none,math,85
female,group D,associate's degree,standard,none,reading,91
female,group D,associate's degree,standard,none,writing,89
male,group B,high school,standard,completed,math,60
male,group B,high school,standard,completed,reading,44
male,group B,high school,standard,completed,writing,47
male,group C,some college,standard,completed,math,98
male,group C,some college,standard,completed,reading,86
male,group C,some college,standard,completed,writing,90
female,group C,some college,standard,none,math,58
female,group C,some college,standard,none,reading,67
female,group C,some college,standard,none,writing,72
female,group D,master's degree,standard,none,math,87
female,group D,master's degree,standard,none,reading,100
female,group D,master's degree,standard,none,writing,100
male,group E,associate's degree,standard,completed,math,66
male,group E,associate's degree,standard,completed,reading,63
male,group E,associate's degree,standard,completed,writing,64
female,group B,associate's degree,free/reduced,none,math,52
female,group B,associate's degree,free/reduced,none,reading,76
female,group B,associate's degree,free/reduced,none,writing,70
female,group B,some high school,standard,none,math,70
female,group B,some high school,standard,none,reading,64
female,group B,some high school,standard,none,writing,72
female,group D,associate's degree,free/reduced,completed,math,77
female,group D,associate's degree,free/reduced,completed,reading,89
female,group D,associate's degree,free/reduced,completed,writing,98
male,group C,high school,standard,none,math,62
male,group C,high school,standard,none,reading,55
male,group C,high school,standard,none,writing,49
male,group A,associate's degree,standard,none,math,54
male,group A,associate's degree,standard,none,reading,53
male,group A,associate's degree,standard,none,writing,47
female,group D,some college,standard,none,math,51
female,group D,some college,standard,none,reading,58
female,group D,some college,standard,none,writing,54
female,group E,bachelor's degree,standard,completed,math,99
female,group E,bachelor's degree,standard,completed,reading,100
female,group E,bachelor's degree,standard,completed,writing,100
male,group C,high school,standard,none,math,84
male,group C,high school,standard,none,reading,77
male,group C,high school,standard,none,writing,74
female,group B,bachelor's degree,free/reduced,none,math,75
female,group B,bachelor's degree,free/reduced,none,reading,85
female,group B,bachelor's degree,free/reduced,none,writing,82
female,group D,bachelor's degree,standard,none,math,78
female,group D,bachelor's degree,standard,none,reading,82
female,group D,bachelor's degree,standard,none,writing,79
female,group D,some high school,standard,none,math,51
female,group D,some high school,standard,none,reading,63
female,group D,some high school,standard,none,writing,61
female,group C,some college,standard,none,math,55
female,group C,some college,standard,none,reading,69
female,group C,some college,standard,none,writing,65
female,group C,bachelor's degree,standard,completed,math,79
female,group C,bachelor's degree,standard,completed,reading,92
female,group C,bachelor's degree,standard,completed,writing,89
male,group B,associate's degree,standard,completed,math,91
male,group B,associate's degree,standard,completed,reading,89
male,group B,associate's degree,standard,completed,writing,92
female,group C,some college,standard,completed,math,88
female,group C,some college,standard,completed,reading,93
female,group C,some college,standard,completed,writing,93
male,group D,high school,free/reduced,none,math,63
male,group D,high school,free/reduced,none,reading,57
male,group D,high school,free/reduced,none,writing,56
male,group E,some college,standard,none,math,83
male,group E,some college,standard,none,reading,80
male,group E,some college,standard,none,writing,73
female,group B,high school,standard,none,math,87
female,group B,high school,standard,none,reading,95
female,group B,high school,standard,none,writing,86
male,group B,some high school,standard,none,math,72
male,group B,some high school,standard,none,reading,68
male,group B,some high school,standard,none,writing,67
male,group D,some college,standard,completed,math,65
male,group D,some college,standard,completed,reading,77
male,group D,some college,standard,completed,writing,74
male,group D,master's degree,standard,none,math,82
male,group D,master's degree,standard,none,reading,82
male,group D,master's degree,standard,none,writing,74
female,group A,bachelor's degree,standard,none,math,51
female,group A,bachelor's degree,standard,none,reading,49
female,group A,bachelor's degree,standard,none,writing,51
male,group D,master's degree,standard,none,math,89
male,group D,master's degree,standard,none,reading,84
male,group D,master's degree,standard,none,writing,82
male,group C,some high school,free/reduced,completed,math,53
male,group C,some high school,free/reduced,completed,reading,37
male,group C,some high school,free/reduced,completed,writing,40
male,group E,some college,free/reduced,completed,math,87
male,group E,some college,free/reduced,completed,reading,74
male,group E,some college,free/reduced,completed,writing,70
female,group C,some college,standard,completed,math,75
female,group C,some college,standard,completed,reading,81
female,group C,some college,standard,completed,writing,84
male,group D,bachelor's degree,free/reduced,completed,math,74
male,group D,bachelor's degree,free/reduced,completed,reading,79
male,group D,bachelor's degree,free/reduced,completed,writing,75
male,group C,bachelor's degree,standard,none,math,58
male,group C,bachelor's degree,standard,none,reading,55
male,group C,bachelor's degree,standard,none,writing,48
male,group B,some high school,standard,completed,math,51
male,group B,some high school,standard,completed,reading,54
male,group B,some high school,standard,completed,writing,41
male,group E,high school,standard,none,math,70
male,group E,high school,standard,none,reading,55
male,group E,high school,standard,none,writing,56
female,group C,associate's degree,standard,none,math,59
female,group C,associate's degree,standard,none,reading,66
female,group C,associate's degree,standard,none,writing,67
male,group D,some college,standard,completed,math,71
male,group D,some college,standard,completed,reading,61
male,group D,some college,standard,completed,writing,69
female,group D,some high school,standard,none,math,76
female,group D,some high school,standard,none,reading,72
female,group D,some high school,standard,none,writing,71
female,group C,some college,free/reduced,none,math,59
female,group C,some college,free/reduced,none,reading,62
female,group C,some college,free/reduced,none,writing,64
female,group E,some college,free/reduced,completed,math,42
female,group E,some college,free/reduced,completed,reading,55
female,group E,some college,free/reduced,completed,writing,54
male,group A,high school,standard,none,math,57
male,group A,high school,standard,none,reading,43
male,group A,high school,standard,none,writing,47
male,group D,some college,standard,none,math,88
male,group D,some college,standard,none,reading,73
male,group D,some college,standard,none,writing,78
female,group C,some college,free/reduced,none,math,22
female,group C,some college,free/reduced,none,reading,39
female,group C,some college,free/reduced,none,writing,33
male,group B,some high school,standard,none,math,88
male,group B,some high school,standard,none,reading,84
male,group B,some high school,standard,none,writing,75
male,group C,associate's degree,free/reduced,none,math,73
male,group C,associate's degree,free/reduced,none,reading,68
male,group C,associate's degree,free/reduced,none,writing,66
female,group D,bachelor's degree,standard,completed,math,68
female,group D,bachelor's degree,standard,completed,reading,75
female,group D,bachelor's degree,standard,completed,writing,81
male,group E,associate's degree,free/reduced,completed,math,100
male,group E,associate's degree,free/reduced,completed,reading,100
male,group E,associate's degree,free/reduced,completed,writing,93
male,group A,some high school,standard,completed,math,62
male,group A,some high school,standard,completed,reading,67
male,group A,some high school,standard,completed,writing,69
male,group A,bachelor's degree,standard,none,math,77
male,group A,bachelor's degree,standard,none,reading,67
male,group A,bachelor's degree,standard,none,writing,68
female,group B,associate's degree,standard,completed,math,59
female,group B,associate's degree,standard,completed,reading,70
female,group B,associate's degree,standard,completed,writing,66
male,group D,bachelor's degree,standard,none,math,54
male,group D,bachelor's degree,standard,none,reading,49
male,group D,bachelor's degree,standard,none,writing,47
male,group D,some high school,standard,none,math,62
male,group D,some high school,standard,none,reading,67
male,group D,some high school,standard,none,writing,61
female,group C,some college,standard,completed,math,70
female,group C,some college,standard,completed,reading,89
female,group C,some college,standard,completed,writing,88
female,group E,high school,free/reduced,completed,math,66
female,group E,high school,free/reduced,completed,reading,74
female,group E,high school,free/reduced,completed,writing,78
male,group B,some college,free/reduced,none,math,60
male,group B,some college,free/reduced,none,reading,60
male,group B,some college,free/reduced,none,writing,60
female,group B,associate's degree,standard,completed,math,61
female,group B,associate's degree,standard,completed,reading,86
female,group B,associate's degree,standard,completed,writing,87
male,group D,associate's degree,free/reduced,none,math,66
male,group D,associate's degree,free/reduced,none,reading,62
male,group D,associate's degree,free/reduced,none,writing,64
male,group B,associate's degree,free/reduced,completed,math,82
male,group B,associate's degree,free/reduced,completed,reading,78
male,group B,associate's degree,free/reduced,completed,writing,74
female,group E,some college,free/reduced,completed,math,75
female,group E,some college,free/reduced,completed,reading,88
female,group E,some college,free/reduced,completed,writing,85
male,group B,master's degree,free/reduced,none,math,49
male,group B,master's degree,free/reduced,none,reading,53
male,group B,master's degree,free/reduced,none,writing,52
male,group C,high school,standard,none,math,52
male,group C,high school,standard,none,reading,53
male,group C,high school,standard,none,writing,49
female,group E,master's degree,standard,none,math,81
female,group E,master's degree,standard,none,reading,92
female,group E,master's degree,standard,none,writing,91
female,group C,bachelor's degree,standard,completed,math,96
female,group C,bachelor's degree,standard,completed,reading,100
female,group C,bachelor's degree,standard,completed,writing,100
male,group C,high school,free/reduced,completed,math,53
male,group C,high school,free/reduced,completed,reading,51
male,group C,high school,free/reduced,completed,writing,51
female,group B,master's degree,free/reduced,completed,math,58
female,group B,master's degree,free/reduced,completed,reading,76
female,group B,master's degree,free/reduced,completed,writing,78
female,group B,high school,standard,completed,math,68
female,group B,high school,standard,completed,reading,83
female,group B,high school,standard,completed,writing,78
female,group C,some college,free/reduced,completed,math,67
female,group C,some college,free/reduced,completed,reading,75
female,group C,some college,free/reduced,completed,writing,70
male,group A,high school,standard,completed,math,72
male,group A,high school,standard,completed,reading,73
male,group A,high school,standard,completed,writing,74
male,group E,some high school,standard,none,math,94
male,group E,some high school,standard,none,reading,88
male,group E,some high school,standard,none,writing,78
female,group D,some college,standard,none,math,79
female,group D,some college,standard,none,reading,86
female,group D,some college,standard,none,writing,81
female,group C,associate's degree,standard,none,math,63
female,group C,associate's degree,standard,none,reading,67
female,group C,associate's degree,standard,none,writing,70
female,group C,bachelor's degree,free/reduced,completed,math,43
female,group C,bachelor's degree,free/reduced,completed,reading,51
female,group C,bachelor's degree,free/reduced,completed,writing,54
female,group C,master's degree,standard,completed,math,81
female,group C,master's degree,standard,completed,reading,91
female,group C,master's degree,standard,completed,writing,87
female,group B,high school,free/reduced,completed,math,46
female,group B,high school,free/reduced,completed,reading,54
female,group B,high school,free/reduced,completed,writing,58
female,group C,associate's degree,standard,completed,math,71
female,group C,associate's degree,standard,completed,reading,77
female,group C,associate's degree,standard,completed,writing,77
female,group B,master's degree,free/reduced,completed,math,52
female,group B,master's degree,free/reduced,completed,reading,70
female,group B,master's degree,free/reduced,completed,writing,62
female,group D,some high school,standard,completed,math,97
female,group D,some high school,standard,completed,reading,100
female,group D,some high school,standard,completed,writing,100
male,group C,master's degree,free/reduced,completed,math,62
male,group C,master's degree,free/reduced,completed,reading,68
male,group C,master's degree,free/reduced,completed,writing,75
female,group C,some college,free/reduced,none,math,46
female,group C,some college,free/reduced,none,reading,64
female,group C,some college,free/reduced,none,writing,66
female,group E,high school,standard,none,math,50
female,group E,high school,standard,none,reading,50
female,group E,high school,standard,none,writing,47
female,group D,associate's degree,standard,none,math,65
female,group D,associate's degree,standard,none,reading,69
female,group D,associate's degree,standard,none,writing,70
male,group C,some high school,free/reduced,completed,math,45
male,group C,some high school,free/reduced,completed,reading,52
male,group C,some high school,free/reduced,completed,writing,49
male,group C,associate's degree,free/reduced,completed,math,65
male,group C,associate's degree,free/reduced,completed,reading,67
male,group C,associate's degree,free/reduced,completed,writing,65
male,group E,high school,standard,none,math,80
male,group E,high school,standard,none,reading,76
male,group E,high school,standard,none,writing,65
male,group D,some high school,standard,completed,math,62
male,group D,some high school,standard,completed,reading,66
male,group D,some high school,standard,completed,writing,68
male,group B,some high school,free/reduced,none,math,48
male,group B,some high school,free/reduced,none,reading,52
male,group B,some high school,free/reduced,none,writing,45
female,group C,bachelor's degree,standard,none,math,77
female,group C,bachelor's degree,standard,none,reading,88
female,group C,bachelor's degree,standard,none,writing,87
female,group E,associate's degree,standard,none,math,66
female,group E,associate's degree,standard,none,reading,65
female,group E,associate's degree,standard,none,writing,69
male,group D,some college,standard,completed,math,76
male,group D,some college,standard,completed,reading,83
male,group D,some college,standard,completed,writing,79
female,group B,some high school,standard,none,math,62
female,group B,some high school,standard,none,reading,64
female,group B,some high school,standard,none,writing,66
male,group D,some college,standard,completed,math,77
male,group D,some college,standard,completed,reading,62
male,group D,some college,standard,completed,writing,62
female,group C,master's degree,standard,completed,math,69
female,group C,master's degree,standard,completed,reading,84
female,group C,master's degree,standard,completed,writing,85
male,group D,associate's degree,standard,none,math,61
male,group D,associate's degree,standard,none,reading,55
male,group D,associate's degree,standard,none,writing,52
male,group C,some high school,free/reduced,completed,math,59
male,group C,some high school,free/reduced,completed,reading,69
male,group C,some high school,free/reduced,completed,writing,65
male,group E,high school,free/reduced,none,math,55
male,group E,high school,free/reduced,none,reading,56
male,group E,high school,free/reduced,none,writing,51
female,group B,some college,free/reduced,none,math,45
female,group B,some college,free/reduced,none,reading,53
female,group B,some college,free/reduced,none,writing,55
female,group B,bachelor's degree,free/reduced,none,math,78
female,group B,bachelor's degree,free/reduced,none,reading,79
female,group B,bachelor's degree,free/reduced,none,writing,76
female,group C,associate's degree,standard,completed,math,67
female,group C,associate's degree,standard,completed,reading,84
female,group C,associate's degree,standard,completed,writing,86
female,group D,some college,free/reduced,none,math,65
female,group D,some college,free/reduced,none,reading,81
female,group D,some college,free/reduced,none,writing,77
male,group C,associate's degree,standard,none,math,69
male,group C,associate's degree,standard,none,reading,77
male,group C,associate's degree,standard,none,writing,69
female,group B,associate's degree,standard,none,math,57
female,group B,associate's degree,standard,none,reading,69
female,group B,associate's degree,standard,none,writing,68
male,group C,some college,standard,none,math,59
male,group C,some college,standard,none,reading,41
male,group C,some college,standard,none,writing,42
male,group D,some high school,standard,completed,math,74
male,group D,some high school,standard,completed,reading,71
male,group D,some high school,standard,completed,writing,78
male,group E,bachelor's degree,standard,none,math,82
male,group E,bachelor's degree,standard,none,reading,62
male,group E,bachelor's degree,standard,none,writing,62
male,group E,high school,standard,completed,math,81
male,group E,high school,standard,completed,reading,80
male,group E,high school,standard,completed,writing,76
female,group B,some college,free/reduced,none,math,74
female,group B,some college,free/reduced,none,reading,81
female,group B,some college,free/reduced,none,writing,76
female,group B,some college,free/reduced,none,math,58
female,group B,some college,free/reduced,none,reading,61
female,group B,some college,free/reduced,none,writing,66
male,group D,some high school,free/reduced,completed,math,80
male,group D,some high school,free/reduced,completed,reading,79
male,group D,some high school,free/reduced,completed,writing,79
male,group C,some college,free/reduced,none,math,35
male,group C,some college,free/reduced,none,reading,28
male,group C,some college,free/reduced,none,writing,27
female,group C,high school,free/reduced,none,math,42
female,group C,high school,free/reduced,none,reading,62
female,group C,high school,free/reduced,none,writing,60
male,group C,associate's degree,free/reduced,completed,math,60
male,group C,associate's degree,free/reduced,completed,reading,51
male,group C,associate's degree,free/reduced,completed,writing,56
male,group E,high school,standard,completed,math,87
male,group E,high school,standard,completed,reading,91
male,group E,high school,standard,completed,writing,81
male,group B,some high school,standard,completed,math,84
male,group B,some high school,standard,completed,reading,83
male,group B,some high school,standard,completed,writing,75
female,group E,associate's degree,free/reduced,completed,math,83
female,group E,associate's degree,free/reduced,completed,reading,86
female,group E,associate's degree,free/reduced,completed,writing,88
female,group C,high school,free/reduced,none,math,34
female,group C,high school,free/reduced,none,reading,42
female,group C,high school,free/reduced,none,writing,39
male,group B,high school,free/reduced,none,math,66
male,group B,high school,free/reduced,none,reading,77
male,group B,high school,free/reduced,none,writing,70
male,group B,some high school,standard,completed,math,61
male,group B,some high school,standard,completed,reading,56
male,group B,some high school,standard,completed,writing,56
female,group D,high school,standard,completed,math,56
female,group D,high school,standard,completed,reading,68
female,group D,high school,standard,completed,writing,74
male,group B,associate's degree,standard,none,math,87
male,group B,associate's degree,standard,none,reading,85
male,group B,associate's degree,standard,none,writing,73
female,group C,some high school,free/reduced,none,math,55
female,group C,some high school,free/reduced,none,reading,65
female,group C,some high school,free/reduced,none,writing,62
male,group D,some high school,standard,none,math,86
male,group D,some high school,standard,none,reading,80
male,group D,some high school,standard,none,writing,75
